phylum	scaled_pd	unscaled_pd
p__Aenigmatarchaeota	6.3958	5.9514
p__Altiarchaeota	1.4063	1.1285
p__Asgardarchaeota	4.7511	4.9028
p__B1Sed10-29	1.0864	0.8586
p__EX4484-52	1.0054	0.9298
p__Hadarchaeota	0.7580	0.5434
p__Halobacteriota	11.4019	9.7846
p__Huberarchaeota	0.1152	0.1968
p__Hydrothermarchaeota	0.7868	0.5396
p__Iainarchaeota	3.0761	3.3190
p__JACRDV01	0.1045	0.0545
p__Methanobacteriota	2.3748	1.6918
p__Methanobacteriota_A	0.5437	0.3251
p__Methanobacteriota_B	1.1889	0.8143
p__Micrarchaeota	7.9113	9.1916
p__Nanoarchaeota	24.3090	26.3278
p__Nanohaloarchaeota	0.7865	0.8420
p__SpSt-1190	0.6058	0.5361
p__Thermoplasmatota	12.5395	12.6460
p__Thermoproteota	18.4076	19.2078
p__Undinarchaeota	0.4455	0.2086
